,Date,Ticker,Mean Rating,Mean Description,# of Ratings,Buy (%),Overweight (%),Hold (%),Underweight (%),Sell (%),Mean Tgt Price,# of Tgt Prices,Tgt Price Implied Return (%)
138,30 Jun '15,INTC,1.66,Overweight ,47,46.8,2.1,36.2,2.1,12.8,34.37,39,13.0
139,31 Mar '15,INTC,1.68,Overweight ,46,45.7,2.2,34.8,4.3,13.0,34.46,39,10.2
140,31 Dec '14,INTC,1.77,Hold ,47,38.3,2.1,42.6,2.1,14.9,35.27,40,-2.8
144,01 Dec '19,FB,1.17,Buy ,49,81.6,6.1,10.2,0.0,2.0,239.27,44,18.7
145,30 Sep '19,FB,1.19,Buy ,48,79.2,8.3,10.4,0.0,2.1,235.86,44,32.4
146,28 Jun '19,FB,1.21,Buy ,47,76.6,8.5,12.8,0.0,2.1,221.74,42,14.9
147,29 Mar '19,FB,1.29,Overweight ,47,68.1,10.6,19.1,0.0,2.1,197.27,41,18.3
148,31 Dec '18,FB,1.27,Overweight ,49,69.4,12.2,16.3,0.0,2.0,188.53,45,43.8
149,28 Sep '18,FB,1.28,Overweight ,48,70.8,10.4,14.6,0.0,4.2,205.51,44,25.0
150,29 Jun '18,FB,1.13,Buy ,45,86.7,4.4,6.7,0.0,2.2,221.37,42,13.9
151,29 Mar '18,FB,1.16,Buy ,45,86.7,4.4,4.4,0.0,4.4,218.81,42,36.9
152,29 Dec '17,FB,1.16,Buy ,46,84.8,6.5,4.3,0.0,4.3,208.11,43,17.9
153,29 Sep '17,FB,1.19,Buy ,45,82.2,6.7,6.7,0.0,4.4,194.12,42,13.6
154,30 Jun '17,FB,1.13,Buy ,43,83.7,7.0,9.3,0.0,0.0,171.11,39,13.3
155,31 Mar '17,FB,1.16,Buy ,46,82.6,6.5,8.7,0.0,2.2,159.34,41,12.2
156,30 Dec '16,FB,1.16,Buy ,44,81.8,9.1,6.8,0.0,2.3,154.85,40,34.6
157,30 Sep '16,FB,1.25,Overweight ,48,75.0,8.3,12.5,0.0,4.2,155.10,42,20.9
158,30 Jun '16,FB,1.13,Buy ,47,83.0,8.5,8.5,0.0,0.0,145.26,43,27.1
159,31 Mar '16,FB,1.15,Buy ,53,83.0,7.5,7.5,0.0,1.9,133.38,48,16.9
160,31 Dec '15,FB,1.12,Buy ,49,83.7,8.2,8.2,0.0,0.0,125.19,44,19.6
161,30 Sep '15,FB,1.18,Buy ,52,78.8,9.6,9.6,0.0,1.9,112.28,46,24.9
162,30 Jun '15,FB,1.21,Buy ,51,76.5,9.8,11.8,0.0,2.0,96.96,46,13.1
163,31 Mar '15,FB,1.21,Buy ,51,76.5,9.8,11.8,0.0,2.0,91.38,46,11.1
164,31 Dec '14,FB,1.17,Buy ,48,79.2,8.3,12.5,0.0,0.0,88.02,44,12.8
168,01 Dec '19,KO,1.50,Overweight ,23,43.5,13.0,43.5,0.0,0.0,58.90,20,10.3
169,30 Sep '19,KO,1.56,Overweight ,25,40.0,12.0,44.0,4.0,0.0,57.64,22,5.9
170,28 Jun '19,KO,1.58,Overweight ,24,41.7,4.2,50.0,4.2,0.0,52.14,21,2.4
171,29 Mar '19,KO,1.60,Overweight ,26,34.6,11.5,53.8,0.0,0.0,50.18,22,7.1
172,31 Dec '18,KO,1.50,Overweight ,26,46.2,7.7,46.2,0.0,0.0,51.92,24,9.6
173,28 Sep '18,KO,1.47,Overweight ,29,48.3,10.3,41.4,0.0,0.0,50.75,26,9.9
174,29 Jun '18,KO,1.46,Overweight ,28,50.0,7.1,42.9,0.0,0.0,49.63,26,13.2
175,29 Mar '18,KO,1.59,Overweight ,27,40.7,7.4,48.1,0.0,3.7,49.68,24,14.4
176,29 Dec '17,KO,1.63,Overweight ,28,35.7,10.7,50.0,0.0,3.6,49.00,25,6.8
177,29 Sep '17,KO,1.70,Overweight ,28,28.6,10.7,57.1,0.0,3.6,47.49,25,5.5
178,30 Jun '17,KO,1.70,Overweight ,25,28.0,12.0,56.0,0.0,4.0,45.89,21,2.3
179,31 Mar '17,KO,1.69,Overweight ,26,30.8,7.7,57.7,0.0,3.8,43.91,21,3.5
180,30 Dec '16,KO,1.60,Overweight ,24,37.5,8.3,50.0,4.2,0.0,45.06,20,8.7
181,30 Sep '16,KO,1.58,Overweight ,24,41.7,4.2,50.0,4.2,0.0,47.11,19,11.3
182,30 Jun '16,KO,1.52,Overweight ,23,47.8,4.3,43.5,4.3,0.0,48.05,19,6.0
183,31 Mar '16,KO,1.54,Overweight ,28,46.4,3.6,46.4,3.6,0.0,47.13,23,1.6
184,31 Dec '15,KO,1.63,Overweight ,27,44.4,3.7,40.7,3.7,7.4,45.19,21,5.2
185,30 Sep '15,KO,1.54,Overweight ,26,53.8,3.8,30.8,3.8,7.7,44.50,22,10.9
186,30 Jun '15,KO,1.67,Overweight ,24,41.7,4.2,41.7,4.2,8.3,44.74,19,14.0
187,31 Mar '15,KO,1.58,Overweight ,24,45.8,4.2,41.7,4.2,4.2,45.16,19,11.4
188,31 Dec '14,KO,1.62,Overweight ,25,40.0,8.0,44.0,4.0,4.0,44.10,21,4.4
192,01 Dec '19,BA,1.54,Overweight ,23,43.5,4.3,52.2,0.0,0.0,394.87,20,7.8
193,30 Sep '19,BA,1.43,Overweight ,23,52.2,8.7,39.1,0.0,0.0,430.60,20,13.2
194,28 Jun '19,BA,1.39,Overweight ,23,56.5,8.7,34.8,0.0,0.0,434.38,21,19.3
195,29 Mar '19,BA,1.26,Overweight ,25,68.0,12.0,20.0,0.0,0.0,454.77,22,19.2
196,31 Dec '18,BA,1.30,Overweight ,22,63.6,13.6,22.7,0.0,0.0,422.68,20,31.1
197,28 Sep '18,BA,1.30,Overweight ,25,64.0,12.0,24.0,0.0,0.0,416.28,24,11.9
198,29 Jun '18,BA,1.37,Overweight ,26,57.7,11.5,30.8,0.0,0.0,401.35,24,19.6
199,29 Mar '18,BA,1.41,Overweight ,28,53.6,10.7,35.7,0.0,0.0,392.13,24,19.6
200,29 Dec '17,BA,1.56,Overweight ,25,40.0,8.0,52.0,0.0,0.0,292.19,21,-0.9
201,29 Sep '17,BA,1.54,Overweight ,26,42.3,7.7,50.0,0.0,0.0,270.36,22,6.4
202,30 Jun '17,BA,1.70,Overweight ,27,37.0,11.1,37.0,3.7,11.1,192.80,22,-2.5
203,31 Mar '17,BA,1.70,Overweight ,27,37.0,11.1,37.0,3.7,11.1,177.71,21,0.5
204,30 Dec '16,BA,1.60,Overweight ,25,40.0,12.0,40.0,4.0,4.0,157.58,19,1.2
205,30 Sep '16,BA,1.63,Overweight ,23,39.1,8.7,43.5,4.3,4.3,147.65,17,12.1
206,30 Jun '16,BA,1.65,Overweight ,23,39.1,4.3,47.8,4.3,4.3,145.06,18,11.7
207,31 Mar '16,BA,1.63,Overweight ,24,37.5,8.3,50.0,0.0,4.2,139.89,18,10.2
208,31 Dec '15,BA,1.50,Overweight ,24,54.2,8.3,29.2,0.0,8.3,164.05,20,13.5
209,30 Sep '15,BA,1.48,Overweight ,24,58.3,4.2,29.2,0.0,8.3,163.38,21,24.8
210,30 Jun '15,BA,1.50,Overweight ,24,54.2,8.3,29.2,0.0,8.3,161.75,20,16.6
211,31 Mar '15,BA,1.48,Overweight ,25,56.0,8.0,28.0,0.0,8.0,159.67,21,6.4
212,31 Dec '14,BA,1.46,Overweight ,25,56.0,4.0,36.0,0.0,4.0,147.33,21,13.4
216,01 Dec '19,MSFT,1.15,Buy ,33,81.8,6.1,12.1,0.0,0.0,161.48,29,6.7
217,30 Sep '19,MSFT,1.17,Buy ,32,81.3,9.4,6.3,0.0,3.1,155.39,28,11.8
218,28 Jun '19,MSFT,1.16,Buy ,31,83.9,6.5,6.5,0.0,3.2,144.21,28,7.7
219,29 Mar '19,MSFT,1.18,Buy ,34,82.4,5.9,8.8,0.0,2.9,127.23,30,7.9
220,31 Dec '18,MSFT,1.18,Buy ,36,80.6,8.3,8.3,0.0,2.8,125.83,34,23.9
